Location,Price,Zone,City,Area
"Venta terreno fraccionado. FRACCIÓN 1 - 1,246.52 m2","MN 3,053,974",San Francisco Totimehuacan, Puebla,1246 m²
"Venta terreno fraccionado. FRACCIÓN 2 - 1,253.26 m2","MN 3,070,487",San Francisco Totimehuacan, Puebla,1253 m²
"Terreno en Venta en Calzada del Arco #100, Santa Cruz Guadalupe","MN 8,893,500",Santa Cruz Guadalupe, Puebla,847 m²
Privada Aragon,"MN 6,000",Santa Cruz Buenavista, Puebla,980 m²
Terreno en Venta habitacional ( 15 mayo y Fuente de Trevi ) .,"MN 2,000,000",Fraccionamiento San Carlos, Puebla,359 m²
VENTA DE LOTE EN CASTILLOTLA 420M2 .,"MN 1,500,000",Ampliacion Lomas de Castillotla, Puebla,420 m²
Av. Central no. 1,"MN 3,750,000",San Isidro Castillotla, Puebla,1120 m²
Terreno en Venta sobre Av. Reforma - Col. San José del Puente .,"MN 67,473,000",San José del Puente, Puebla,9639 m²
TERRENOS EN VENTA FRENTE AL TRIANGULO DE LAS ANIMAS,"MN 7,196,000",Las Animas Santa Anita, Puebla,514 m²
santa cruz guadalupe,"MN 4,446,000",Santa Cruz Guadalupe, Puebla,468 m²
calzada zavaleta,"MN 5,561,400",Santa Cruz Buenavista, Puebla,713 m²
club de golf las fuentes segunda sección,"MN 6,373,500",Club de golf Las Fuentes, Puebla,607 m²
camino real a cholula,"MN 3,900,000",Camino Real a Cholula, Puebla,300 m²
BLVD. NORTE 1833,"MN 151,000,000",Villa San Alejandro, Puebla,8637 m²
Error,Error,Error,Error,Error
PARQUE SINALOA,"MN 1,320,153",Zona comercial Angelopolis, Puebla,183 m²
Carretera canoa,"MN 4,200,000",INFONAVIT San Aparicio, Puebla,4140 m²
Boulevard Lomas del Valle,"MN 10,000",Fraccionamiento Lomas del Valle, Puebla,404 m²
BLVD. NORTE 1833,"MN 20,505,000",Villa San Alejandro, Puebla,1171 m²
139 A poniente,"MN 712,000",San Isidro Castillotla, Puebla,177 m²
manzana,"MN 180,000",San Francisco Totimehuacan, Puebla,120 m²
11 Sur 4311,"MN 250,000",Reforma Agua Azul, Puebla,16 m²
Parque Viena,"MN 9,500",Zona comercial Angelopolis, Puebla,197 m²
Vicente Guerrero,"MN 2,500",San Francisco Totimehuacan, Puebla,3741 m²
21 SUR,"MN 13,728,000",Barrio San Matías, Puebla,1056 m²
Terreno EN Venta EN Castillotla,"MN 94,837,500",Ex-Rancho Vaquerías, Puebla,12645 m²
Haras,"MN 31,500,000",Lomas Flor del Bosque, Puebla,21000 m²
Blvd. Capitán Carlos Camacho Espíritu,"MN 30,636,200",San Francisco Totimehuacan, Puebla,7756 m²
Error,Error,Error,Error,Error
"Venta terreno fraccionado. FRACCIÓN 3 - 1,241.67 m2","MN 3,042,091",Fraccionamiento San Francisco Totimehuacan, Puebla,1241 m²
Error,Error,Error,Error,Error
"Terreno en Venta en Santa Martha - San Andrés Cholula, Pue.","MN 5,834,000",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,3241 m²
Error,Error,Error,Error,Error
VENTA TERRENO FRANCISCO Y MADERO!!! .,"MN 2,300,000",Ampliacion Francisco I Madero, Puebla,240 m²
Guillermo Xicoténcatl,"MN 513,188",San Cristóbal Tulcingo Oriente, Puebla,74 m²
Venta terreno con proyecto de construcción 3741.45 metros,"MN 9,166,552",Fraccionamiento San Francisco Totimehuacan, Puebla,3741 m²
Predio El Potrero,"MN 37,000,000",La Joya (Anexo Lomas San Miguel), Puebla,22264 m²
17 sur,"MN 2,949,930",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,438 m²
Error,Error,Error,Error,Error
